frame,cell_label,area,eccentricity,solidity,extent,aspect_ratio,n_defects,max_defect_depth_ratio
18,1,924.0,0.6714,1.0324,0.7452,1.3494,0,0.0458
18,2,2274.0,0.4661,1.0202,0.8098,1.1303,0,0.0305
18,3,677.0,0.4471,1.0456,0.8358,1.118,1,0.0535
18,4,1583.0,0.7017,1.0256,0.786,1.4035,0,0.0332
18,6,2331.0,0.5475,1.0076,0.7618,1.195,0,0.0492
19,1,2131.0,0.8806,0.7918,0.4881,2.1103,4,2.0947
19,3,2183.0,0.876,0.9452,0.5606,2.073,3,0.3482
19,4,1332.0,0.6753,1.023,0.75,1.3559,0,0.0444
19,5,2580.0,0.9168,0.8707,0.6071,2.5048,2,0.6179
19,6,1419.0,0.8928,0.9643,0.6539,2.2197,2,0.2849
19,7,887.0,0.4652,1.0308,0.7673,1.1297,2,0.0753
19,8,1304.0,0.7138,1.0288,0.7707,1.4279,0,0.0385
19,9,1981.0,0.8801,0.9146,0.5549,2.1061,3,0.513
19,10,3074.0,0.6307,1.01,0.7624,1.2886,0,0.0452
19,11,1683.0,0.8569,0.8278,0.6127,1.9399,4,1.4237
19,12,2522.0,0.8414,0.9041,0.5758,1.8503,6,0.2767
19,13,1538.0,0.6716,0.9793,0.6823,1.3497,6,0.193
20,1,2162.0,0.5286,1.0053,0.7607,1.1781,2,0.0957
20,2,2460.0,0.7252,0.9409,0.6727,1.4524,3,0.752
20,3,1981.0,0.4692,0.9955,0.737,1.1324,5,0.1246
20,4,2475.0,0.4932,0.999,0.7412,1.1496,1,0.1035
20,5,1723.0,0.497,0.974,0.7203,1.1524,3,0.2077
20,6,2619.0,0.5836,1.0104,0.7653,1.2315,1,0.0587
20,7,3471.0,0.541,1.0099,0.7669,1.189,0,0.0472
20,8,3729.0,0.798,0.9842,0.7654,1.6595,2,0.1607
20,9,2654.0,0.7882,0.9447,0.623,1.625,6,0.2833
20,10,4326.0,0.8117,0.9584,0.7041,1.712,3,0.2627
20,11,3704.0,0.8481,0.9724,0.6747,1.8875,2,0.1986
20,12,3418.0,0.8082,0.965,0.7062,1.6979,4,0.1877
20,13,1462.0,0.4501,0.903,0.68,1.1199,8,1.156
20,14,1867.0,0.7768,0.9624,0.6546,1.5879,3,0.279
21,1,2081.0,0.7583,0.9498,0.6608,1.534,4,0.2802
21,2,2185.0,0.777,0.9152,0.6837,1.5886,6,0.4383
21,3,2010.0,0.8817,0.8847,0.5543,2.1195,2,0.5274
21,4,2691.0,0.3844,1.0058,0.7494,1.0832,1,0.0973
21,6,3349.0,0.5209,1.0074,0.7717,1.1715,1,0.0932
21,7,3047.0,0.832,0.9291,0.5896,1.8024,3,0.3969
21,8,3713.0,0.7958,0.9672,0.7151,1.6512,2,0.2316
22,1,2151.0,0.663,0.9424,0.6463,1.3358,8,0.2186
22,2,1827.0,0.4886,1.0116,0.7334,1.1461,1,0.0525
22,3,3654.0,0.6454,1.0104,0.768,1.3091,0,0.0427
22,5,4325.0,0.8188,0.9354,0.6795,1.7421,3,0.3564
22,6,2534.0,0.5593,1.0126,0.7712,1.2063,0,0.0446
22,7,2547.0,0.4304,1.0057,0.7608,1.1079,2,0.1054
22,8,2201.0,0.3268,1.0136,0.7696,1.0581,0,0.041
22,9,3650.0,0.8731,0.9547,0.6199,2.0512,3,0.1717
22,10,1860.0,0.8977,0.7873,0.5827,2.2696,5,2.5169
22,11,3361.0,0.5959,1.0128,0.778,1.2453,0,0.034
22,12,2107.0,0.9228,0.8796,0.667,2.5956,8,0.4392
22,13,3476.0,0.846,0.9426,0.6218,1.8753,5,0.2053
23,1,1993.0,0.5243,1.0112,0.7414,1.1744,1,0.0653
23,2,2646.0,0.6154,0.9951,0.7206,1.2687,3,0.1284
23,3,1771.0,0.4373,0.9899,0.7246,1.112,6,0.1635
23,4,1537.0,0.7118,0.9415,0.6654,1.4238,6,0.237
23,5,1228.0,0.3851,0.832,0.6208,1.0836,8,1.5826
23,6,1459.0,0.8792,0.3573,0.1803,2.099,3,2.0289
23,7,2227.0,0.6179,0.9761,0.733,1.2719,2,0.4799
23,8,1740.0,0.7114,0.9943,0.75,1.423,2,0.2002
23,9,1875.0,0.4621,1.0174,0.7972,1.1276,2,0.0596
23,10,853.0,0.6956,1.0327,0.7542,1.3919,2,0.0607
23,11,1476.0,0.7652,1.0054,0.7235,1.5534,2,0.1247
23,12,3216.0,0.8252,0.9703,0.6291,1.7702,2,0.1489
23,13,2319.0,0.5486,1.0063,0.7689,1.1961,1,0.0748
23,14,2501.0,0.6911,0.9831,0.6907,1.3837,4,0.1456
24,1,3206.0,0.8982,0.8382,0.5532,2.2747,5,1.0591
24,2,682.0,0.5834,0.8557,0.6078,1.2313,7,0.781
24,5,2773.0,0.6725,0.9696,0.7132,1.3512,4,0.1888
